,protein_name
19221,NADH dehydrogenase
19222,NADH dehydrogenase H:quinone oxidoreductase)
19223,NADPH-dependent 7-cyano-7-deazaguanine reductase reductase)
19224,NADPH2:quinone reductase
19225,Nicotinamide-nucleotide amidase
19226,Nicotinate phosphoribosyltransferase
19227,Nitronate monooxygenase
19228,Nucleoside diphosphate kinase
19229,Octanoyltransferase
19230,Octaprenyl-diphosphate synthase
19231,Oligopeptidase B
19232,Ornithine carbamoyltransferase
19233,Orotate phosphoribosyltransferase
19234,Orotidine 5'-phosphate decarboxylase
19235,Oxygen-dependent coproporphyrinogen-III oxidase
19236,Pantothenate kinase
19237,Pantothenate synthetase
19238,Para-aminobenzoate synthetase component 1
19239,Penicillin-binding protein 1A
19240,Peptide deformylase
19241,Peptide methionine sulfoxide reductase MsrA -S-oxide reductase)
19242,Peptide methionine sulfoxide reductase MsrB -S-oxide reductase)
19243,Peptidyl-dipeptidase Dcp
19244,Peptidyl-tRNA hydrolase
19245,Phenylalanine--tRNA ligase beta subunit
19246,Phenylalanine-4-hydroxylase
19247,Phosphatidate cytidylyltransferase
19248,Phosphatidylglycerol lysyltransferase
19249,Phosphinothricin acetyltransferase
19250,Phospho-2-dehydro-3-deoxyheptonate aldolase
19251,Phospho-N-acetylmuramoyl-pentapeptide-transferase
19252,Phosphoenolpyruvate-protein phosphotransferase
19253,Phosphogluconate dehydratase
19254,Phosphoglucosamine mutase
19255,Phosphoglycerate kinase
19256,Phosphoglycolate phosphatase
19257,Phosphomannomutase
19258,Phosphomethylpyrimidine synthase
19259,Phosphopantetheine adenylyltransferase
19260,"Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase"
19261,Phosphoribosyl-AMP cyclohydrolase
19262,Phosphoribosyl-ATP pyrophosphatase
19263,Phosphoribosylamine--glycine ligase
19264,Phosphoribosylaminoimidazole-succinocarboxamide synthase
19265,Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
19266,Phosphoribosylformylglycinamidine cyclo-ligase
19267,Phosphoribosylformylglycinamidine synthase subunit PurQ
19268,Phosphoribosylglycinamide formyltransferase
19269,Phytoene synthase
19270,Poly depolymerase
19271,Poly polymerase
19272,Polyphosphate kinase
19273,Polyribonucleotide nucleotidyltransferase
19274,Porphobilinogen deaminase
19275,Prepilin peptidase CpaA
19276,Probable branched-chain-amino-acid aminotransferase
19277,Probable cytosol aminopeptidase
19278,Probable nicotinate-nucleotide adenylyltransferase diphosphorylase) pyrophosphorylase)
19279,Probable periplasmic serine endoprotease DegP-like
19280,Proline iminopeptidase
19281,Proline--tRNA ligase
19282,Propionyl-CoA carboxylase beta chain
19283,Protein-L-isoaspartate O-methyltransferase
19284,Protein-glutamate methylesterase/protein-glutamine glutaminase
19285,Purine nucleosidase
19286,Pyridoxine 5'-phosphate synthase
19287,Pyridoxine/pyridoxamine 5'-phosphate oxidase
19288,Pyrroline-5-carboxylate reductase
19289,Pyruvate dehydrogenase E1 component subunit beta
19290,Pyruvate kinase
19291,"Pyruvate, phosphate dikinase"
19292,Queuine tRNA-ribosyltransferase
19293,Quinolinate synthase
19294,Quinoprotein glucose dehydrogenase
19295,Release factor glutamine methyltransferase MTase PrmC)
19296,Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase ; 5-amino-6-uracil reductase ]
19297,Riboflavin biosynthesis protein [Includes: kinase ; FMN adenylyltransferase ]
19298,Riboflavin synthase
19299,Ribokinase
19300,Ribonuclease 3
19301,Ribonuclease D
19302,Ribonuclease E
19303,Ribonuclease HII
19304,Ribonuclease P protein component
19305,Ribonuclease PH
19306,Ribonucleoside-diphosphate reductase
19307,Ribose 5-phosphate isomerase B
19308,Ribose-phosphate pyrophosphokinase
19309,Ribosomal RNA large subunit methyltransferase E -methyltransferase)
19310,Ribosomal RNA large subunit methyltransferase H -methyltransferase) -methyltransferase RlmH)
19311,Ribosomal RNA large subunit methyltransferase J -N6)-methyltransferase)
19312,Ribosomal RNA small subunit methyltransferase A -N/adenine-N)-dimethyltransferase) dimethyltransferase)
19313,Ribosomal RNA small subunit methyltransferase E
19314,Ribosomal RNA small subunit methyltransferase G
19315,Ribosomal RNA small subunit methyltransferase H C1402 methyltransferase) -)-methyltransferase RsmH)
19316,Ribosomal RNA small subunit methyltransferase I -methyltransferase RsmI)
19317,Ribulose-phosphate 3-epimerase
19318,S-adenosylmethionine:tRNA ribosyltransferase-isomerase
19319,S-formylglutathione hydrolase
19320,S-glutathione dehydrogenase
19321,Serine acetyltransferase
19322,Serine hydroxymethyltransferase
19323,Serine--tRNA ligase synthetase)
19324,Shikimate dehydrogenase )
19325,Shikimate kinase
19326,Signal peptidase I
19327,Succinate dehydrogenase iron-sulfur subunit
19328,Succinate--CoA ligase [ADP-forming] subunit alpha
19329,Succinate-semialdehyde dehydrogenase/glutarate-semialdehyde dehydrogenase
19330,Succinyl-diaminopimelate desuccinylase
19331,Sugar-phosphatase
19332,Sulfite reductase hemoprotein beta-component
19333,Superoxide dismutase [Cu-Zn]
19334,Tetraacyldisaccharide 4'-kinase
19335,Thiamine-phosphate synthase
19336,Thiazole synthase
19337,Thioredoxin reductase
19338,Thiosulfate/3-mercaptopyruvate sulfurtransferase
19339,Threonine dehydratase
19340,Threonine synthase
19341,Threonine--tRNA ligase
19342,Threonylcarbamoyl-AMP synthase
19343,Thymidylate kinase
19344,Thymidylate synthase
19345,Transaldolase
19346,Transketolase
19347,Trehalose 6-phosphate phosphatase
19348,Trehalose-6-phosphate synthase
19349,Trigger factor
19350,Triosephosphate isomerase
19351,"Tryptophan 2,3-dioxygenase"
19352,Tryptophan synthase beta chain
19353,Tryptophan--tRNA ligase
19354,Tyrosine--tRNA ligase
19355,UDP-3-O-acyl-N-acetylglucosamine deacetylase
19356,UDP-3-O-acylglucosamine N-acyltransferase
19357,UDP-N-acetylenolpyruvoylglucosamine reductase
19358,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
19359,UDP-N-acetylglucosamine--N-acetylmuramyl- pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
19360,UDP-N-acetylmuramate--L-alanine ligase
19361,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
19362,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
19363,UDP-N-acetylmuramoylalanine--D-glutamate ligase
19364,UDP-galactopyranose mutase
19365,UDP-glucose 4-epimerase
19366,UDP-glucose 6-dehydrogenase
19367,UDP-glucuronate 4-epimerase
19368,UDP-sulfoquinovose synthase
19369,UTP--glucose-1-phosphate uridylyltransferase
19370,Ubiquinone biosynthesis O-methyltransferase
19371,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
19372,Uncharacterized protein
19373,Undecaprenyl-diphosphatase
19374,Uridylate kinase
19375,Urocanate hydratase
19376,Uroporphyrin-III C-methyltransferase/precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase
19377,Uroporphyrinogen decarboxylase
19378,Uroporphyrinogen-III synthase
19379,Valine--tRNA ligase
19380,Xaa-Pro aminopeptidase
19381,aldehyde dehydrogenase )
19382,aminomethyltransferase
19383,aspartate transaminase
19384,beta-N-acetylhexosaminidase
19385,biotin--[biotin carboxyl-carrier protein] ligase
19386,dCTP deaminase
19387,dITP/XTP pyrophosphatase
19388,"dTDP-4-dehydrorhamnose 3,5-epimerase"
19389,dTDP-4-dehydrorhamnose reductase
19390,"dTDP-glucose 4,6-dehydratase"
19391,diguanylate cyclase
19392,exopolyphosphatase
19393,ferredoxin--NADP reductase
19394,glutathione transferase
19395,histidine kinase
19396,hydroxymethylpyrimidine kinase
19397,methylmalonate-semialdehyde dehydrogenase
19398,methylmalonyl-CoA mutase
19399,nicotinamidase
19400,nicotinate-nucleotide diphosphorylase
19401,non-specific serine/threonine protein kinase
19402,ornithine decarboxylase
19403,phosphoglucomutase
19404,phosphoserine transaminase
19405,prephenate dehydratase
19406,protein-tyrosine-phosphatase
19407,site-specific DNA-methyltransferase
19408,tRNA -)-methyltransferase
19409,tRNA -)-methyltransferase -N)-methyltransferase) -methyltransferase)
19410,tRNA -2'-O)-methyltransferase -methyltransferase TrmL)
19411,tRNA N6-adenosine threonylcarbamoyltransferase A synthase) A37 threonylcarbamoyladenosine biosynthesis protein TsaD)
19412,tRNA dimethylallyltransferase
19413,tRNA pseudouridine synthase A synthase)
19414,tRNA pseudouridine synthase B synthase)
19415,tRNA-2-methylthio-N-dimethylallyladenosine synthase adenosine tRNA methylthiotransferase MiaB) A37 methylthiotransferase)
19416,tRNA-lysidine synthase -2-lysyl-cytidine synthase) -lysidine synthetase)
19417,"1,4-alpha-glucan branching enzyme GlgB -glucan enzyme)"
19418,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD"
19419,1--5-[methylideneamino] imidazole-4-carboxamide isomerase
19420,1-acyl-sn-glycerol-3-phosphate acyltransferase
19421,1-deoxy-D-xylulose 5-phosphate reductoisomerase
19422,1-deoxy-D-xylulose-5-phosphate synthase
19423,16S rRNA -C)-methyltransferase -)-methyltransferase RsmB)
19424,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
19425,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
19426,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
19427,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
19428,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
19429,2-dehydro-3-deoxy-phosphogluconate aldolase
19430,2-dehydro-3-deoxyphosphooctonate aldolase
19431,2-isopropylmalate synthase
19432,2-methylisocitrate lyase -2-methylisocitrate lyase)
19433,23S rRNA -C)-methyltransferase RlmD -methyltransferase)
19434,23S rRNA -methyltransferase RlmB -methyltransferase)
19435,"3,4-dihydroxy-2-butanone 4-phosphate synthase"
19436,3-dehydroquinate dehydratase
19437,3-dehydroquinate synthase
19438,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
19439,3-deoxy-D-manno-octulosonic acid transferase)
19440,3-deoxy-manno-octulosonate cytidylyltransferase
19441,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
19442,3-isopropylmalate dehydratase small subunit
19443,3-isopropylmalate dehydrogenase
19444,3-methyl-2-oxobutanoate hydroxymethyltransferase
19445,3-octaprenyl-4-hydroxybenzoate carboxy-lyase
19446,3-oxoacyl-[acyl-carrier-protein] reductase
19447,3-oxoacyl-[acyl-carrier-protein] synthase 1
19448,3-oxoacyl-[acyl-carrier-protein] synthase 2
19449,3-phosphoshikimate 1-carboxyvinyltransferase
19450,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase -2-C-methyl-D-erythritol kinase)
19451,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
19452,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase -butenyl 4-diphosphate synthase)
19453,4-hydroxy-tetrahydrodipicolinate reductase
19454,4-hydroxy-tetrahydrodipicolinate synthase
19455,4-hydroxybenzoate octaprenyltransferase
19456,4-hydroxythreonine-4-phosphate dehydrogenase -L-threonine dehydrogenase)
19457,5
19458,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
19459,5'-nucleotidase SurE
19460,5-formyltetrahydrofolate cyclo-ligase
19461,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
19462,"6,7-dimethyl-8-ribityllumazine synthase"
19463,"6-carboxy-5,6,7,8-tetrahydropterin synthase"
19464,"6-phosphogluconate dehydrogenase, decarboxylating"
19465,6-phosphogluconolactonase
19466,"7,8-dihydroneopterin aldolase"
19467,7-cyano-7-deazaguanine synthase)
19468,8-oxo-dGTP diphosphatase
19469,"ABC transporter ATP-binding protein, amino acid"
19470,"ABC transporter permease, enterobactin"
19471,ADP-L-glycero-D-manno-heptose-6-epimerase
19472,ATP phosphoribosyltransferase
19473,ATP synthase F0F1 subunit B
19474,ATP-dependent Clp protease proteolytic subunit
19475,ATP-dependent RNA helicase
19476,ATP-dependent dethiobiotin synthetase BioD
19477,Acetaldehyde dehydrogenase
19478,Acetate kinase
19479,Acetolactate synthase small subunit
19480,"Acetyl-CoA carboxylase, carboxyl transferase, beta subunit"
19481,Acetylglutamate kinase
19482,Acetylornithine aminotransferase
19483,Acetyltransferase component of pyruvate dehydrogenase complex
19484,Aconitate hydratase B
19485,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
19486,Adenine phosphoribosyltransferase
19487,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
19488,Adenylate kinase
19489,Adenylosuccinate lyase
19490,Adenylosuccinate synthetase
19491,Alanine racemase
19492,Alanine--tRNA ligase
19493,Aldehyde dehydrogenase
19494,Aldehyde dehydrogenase A
19495,"Alpha-1,4 glucan phosphorylase"
19496,Amidophosphoribosyltransferase
19497,Amino acid permease ATP-binding protein
19498,Aminomethyltransferase
19499,Aminopeptidase N
19500,Amylosucrase
19501,Anhydro-N-acetylmuramic acid kinase
19502,Anthranilate phosphoribosyltransferase
19503,Anthranilate synthase component 1
19504,Anthranilate synthase component II
19505,Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: alpha chain; beta chain] [Includes: Glutamate N-acetyltransferase ; Amino-acid acetyltransferase ]
19506,Arginine--tRNA ligase
19507,Argininosuccinate lyase
19508,Argininosuccinate synthase
19509,Aromatic amino acid aminotransferase
19510,Aspartate 1-decarboxylase [Cleaved into: beta chain; alpha chain]
19511,Aspartate aminotransferase family protein
19512,Aspartate ammonia-lyase
19513,Aspartate carbamoyltransferase
19514,Aspartate-semialdehyde dehydrogenase
19515,Aspartokinase
19516,Aspartyl-tRNA synthetase
19517,Bacterial ferritin
19518,Bacterioferritin comigratory protein
19519,Beta-hexosaminidase
19520,Beta-ketoacyl-[acyl-carrier-protein] synthase III
19521,Beta-phosphoglucomutase
19522,Bifunctional chorismate mutase/prephenate dehydratase
19523,Bifunctional enzyme BirA/CoaX [Includes: Biotin--[acetyl-CoA-carboxylase] synthetase ; Type III pantothenate kinase ]
19524,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme [Includes: adenylyl-L-tyrosine phosphorylase ; adenylyl transferase ]
19525,"Bifunctional ppGpp synthetase/guanosine-3',5'-bis 3'-pyrophosphohydrolase"
19526,Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase ; Methenyltetrahydrofolate cyclohydrolase ]
19527,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase ; Glucosamine-1-phosphate N-acetyltransferase ]
19528,Bifunctional protein PutA [Includes: Proline dehydrogenase ; Delta-1-pyrroline-5-carboxylate ]
19529,Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase ; IMP cyclohydrolase ]
19530,Bifunctional uridylyltransferase/uridylyl-removing enzyme [Includes: [Protein-PII] uridylyltransferase ; [Protein-PII]-UMP uridylyl-removing ]
19531,Biotin carboxylase
19532,Biotin synthase
19533,"Bis-tetraphosphatase, symmetrical"
19534,Branched-chain-amino-acid aminotransferase
19535,Butanediol dehydrogenase
19536,CDP-4-dehydro-6-deoxyglucose reductase
19537,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
19538,CRISPR-associated exonuclease Cas4
19539,CTP synthase
19540,Carbamoyl phosphate synthase large chain
19541,Carbonic anhydrase
19542,Carboxy-terminal processing protease
19543,Catalase
19544,Cation transporter E1-E2 family ATPase
19545,Chorismate synthase
19546,Coenzyme A biosynthesis bifunctional protein CoaBC [Includes: Phosphopantothenoylcysteine decarboxylase ; Phosphopantothenate--cysteine ligase ]
19547,Copper-containing nitrite reductase
19548,Copper-exporting P-type ATPase A
19549,Coproporphyrinogen III oxidase
19550,Cystathionine gamma-synthase
19551,Cysteine desulfurase IscS
19552,Cysteine synthase
19553,Cysteine--tRNA ligase
19554,"Cytochrome C oxidase, subunit III"
19555,D-alanine--D-alanine ligase
19556,D-amino acid dehydrogenase small subunit
19557,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase"
19558,D-lactate dehydrogenase
19559,DNA gyrase subunit A
19560,DNA helicase
19561,DNA ligase
19562,DNA ligase ])
19563,DNA polymerase III subunit gamma/tau
19564,DNA relaxase mbeA
19565,DNA-3-methyladenineglycosylase I
19566,DNA-directed RNA polymerase subunit omega
19567,Dehydrogenase
19568,Delta-aminolevulinic acid dehydratase
19569,Deoxyguanosinetriphosphate triphosphohydrolase
19570,Deoxyribodopyrimidine photolyase
19571,Deoxyuridine 5'-triphosphate nucleotidohydrolase
19572,Dephospho-CoA kinase
19573,Diacylglycerol kinase
19574,Diaminopimelate decarboxylase
19575,Diaminopimelate epimerase
19576,Dihydrofolate reductase
19577,Dihydrofolate synthase/folylpolyglutamate synthase
19578,Dihydrolipoyl dehydrogenase
19579,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
19580,Dihydroorotase
19581,Dihydroorotate dehydrogenase
19582,Dihydropteroate synthase
19583,Dihydroxy-acid dehydratase
19584,Dual-specificity RNA methyltransferase RlmN -C)-methyltransferase)
19585,Dual-specificity RNA pseudouridine synthase RluF synthase)
19586,Electron transfer flavoprotein-ubiquinone oxidoreductase
19587,Enolase
19588,Enoyl-ACP reductase
19589,Enoyl-[acyl-carrier-protein] reductase [NADH]
19590,Exodeoxyribonuclease
19591,Exodeoxyribonuclease 7 large subunit
19592,Exopolyphosphatase
19593,FK506-binding protein
19594,Ferritin
19595,Ferrochelatase
19596,Flavoprotein oxidoreductase
19597,Formamidopyrimidine-DNA glycosylase lyase MutM)
19598,Formate acetyltransferase
19599,Formate--tetrahydrofolate ligase
19600,Fructokinase
19601,"Fructose-1,6-bisphosphatase class 1"
19602,"Fructose-1,6-bisphosphate aldolase"
19603,Fumarate hydratase class II
19604,Fumarate reductase flavoprotein subunit
19605,GMP synthase [glutamine-hydrolyzing]
19606,GTP cyclohydrolase FolE2
19607,GTP cyclohydrolase-2
19608,Gamma-glutamyl phosphate reductase
19609,GapC protein
19610,Glucokinase
19611,Gluconokinase
19612,Glucose-1-phosphate thymidylyltransferase
19613,Glucose-6-phosphate 1-dehydrogenase
19614,Glucose-6-phosphate isomerase
19615,Glutamate 5-kinase
19616,Glutamate dehydrogenase
19617,Glutamate racemase
19618,Glutamate--cysteine ligase
19619,Glutamate--tRNA ligase
19620,"Glutamate-1-semialdehyde 2,1-aminomutase"
19621,Glutamine synthetase
19622,Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
19623,Glutamine--tRNA ligase
19624,Glutamyl-tRNA amidotransferase subunit A
19625,Glutamyl-tRNA reductase
19626,Glutathione hydrolase proenzyme [Cleaved into: large chain; small chain]
19627,Glutathione synthetase
19628,Glycerol-3-phosphate dehydrogenase [NAD+] -dependent dehydrogenase) H-dependent dihydroxyacetone-phosphate reductase)
19629,Glycine dehydrogenase )
19630,Glycine--tRNA ligase beta subunit
19631,"Guanosine-3',5'-bis 3'-pyrophosphohydrolase"
19632,Guanylate kinase
19633,Histidine--tRNA ligase
19634,Histidinol dehydrogenase
19635,Histidinol-phosphate aminotransferase
19636,Holliday junction DNA helicase RuvB
19637,Holo-[acyl-carrier-protein] synthase
19638,Homoserine O-acetyltransferase
19639,Homoserine dehydrogenase
19640,Homoserine kinase
19641,Hydroxyacylglutathione hydrolase
19642,Hypoxanthine-guanine phosphoribosyltransferase
19643,Imidazoleglycerol-phosphate dehydratase
19644,Indole-3-glycerol phosphate synthase
19645,Inorganic pyrophosphatase
19646,Inosine-5'-monophosphate dehydrogenase
19647,Inositol-1-monophosphatase
19648,Integral membrane protein
19649,Isocitrate dehydrogenase [NADP]
19650,Isoleucine--tRNA ligase
19651,Ketol-acid reductoisomerase )
19652,KpsF
19653,L-asparaginase
19654,L-aspartate oxidase
19655,L-lactate dehydrogenase
19656,L-serine dehydratase
19657,L-threonine dehydratase
19658,Leucine--tRNA ligase
19659,Leucyl/phenylalanyl-tRNA--protein transferase
19660,Lipid A biosynthesis lauroyltransferase
19661,Lipid-A-disaccharide synthase
19662,Lipoprotein signal peptidase
19663,Lipoyl synthase
19664,Lon protease
19665,Long-chain-fatty-acid--CoA ligase
19666,Lysine--tRNA ligase
19667,Malate dehydrogenase
19668,Malic enzyme
19669,Malonyl CoA-acyl carrier protein transacylase
19670,Malonyl-[acyl-carrier protein] O-methyltransferase
19671,Maltose phosphorylase
19672,Methionine aminopeptidase
19673,Methionine--tRNA ligase
19674,Methionyl-tRNA formyltransferase
19675,Methylated-DNA--protein-cysteine methyltransferase
19676,Methylcitrate synthase
19677,Molybdenum cofactor guanylyltransferase
19678,"Multifunctional CCA protein [Includes: CCA-adding enzyme ; 2'-nucleotidase 2',3'-cyclic phosphodiesterase Phosphatase]"
19679,Multifunctional fusion protein [Includes: Ribosomal RNA large subunit methyltransferase H -methyltransferase) -methyltransferase RlmH); silencing factor RsfS]
19680,N-acetyl-gamma-glutamyl-phosphate reductase
19681,N-anthranilate isomerase
19682,N5-carboxyaminoimidazole ribonucleotide mutase imidazole mutase)
19683,N5-carboxyaminoimidazole ribonucleotide synthase imidazole synthetase)
19684,NAD kinase
19685,NADH dehydrogenase subunit M
19686,NADH-hydrate epimerase HX epimerase)
19687,NADPH-dependent 7-cyano-7-deazaguanine reductase reductase)
19688,NH-dependent NAD synthetase
19689,Nicotinamide-nucleotide amidase
19690,Nicotinate phosphoribosyltransferase
19691,Nitric oxide reductase
19692,Nitrilase
19693,Nitronate monooxygenase
19694,Nitrous-oxide reductase OR)
19695,Nucleoside diphosphate kinase
19696,Octanoyltransferase
19697,Octaprenyl diphosphate synthase / Dimethylallyltransferase -farnesyl Geranylgeranyl pyrophosphate synthetase
19698,Ornithine carbamoyltransferase
19699,Orotate phosphoribosyltransferase
19700,Orotidine 5'-phosphate decarboxylase
19701,Oxidoreductase
19702,Oxygen-dependent coproporphyrinogen-III oxidase
19703,Pantothenate synthetase
19704,"Para-aminobenzoate synthase, aminase component / Aminodeoxychorismate lyase"
19705,Penicillin-binding protein 1A [Includes: Penicillin-insensitive transglycosylase ; Penicillin-sensitive transpeptidase ]
19706,Peptide deformylase
19707,Peptide methionine sulfoxide reductase MsrA/MsrB [Includes: Thioredoxin; MsrA -S-oxide reductase) reductase); MsrB reductase)]
19708,Peptidyl-tRNA hydrolase
19709,Phenylalanine--tRNA ligase beta subunit
19710,Phosphate acetyltransferase
19711,Phosphatidate cytidylyltransferase
19712,Phosphatidylglycerophosphatase A
19713,Phosphatidylserine decarboxylase proenzyme [Cleaved into: alpha chain; beta chain]
19714,Phosphinothricin acetyltransferase YwnH
19715,Phospho-2-dehydro-3-deoxyheptonate aldolase
19716,Phospho-N-acetylmuramoyl-pentapeptide-transferase
19717,Phosphoadenosine phosphosulfate reductase
19718,Phosphoenolpyruvate carboxylase
19719,Phosphoenolpyruvate synthase
19720,Phosphoenolpyruvate-protein phosphotransferase
19721,Phosphogluconate dehydratase
19722,Phosphoglucosamine mutase
19723,Phosphoglycerate kinase
19724,Phosphoglycolate phosphatase
19725,Phosphoheptose isomerase
19726,Phospholipase A1
19727,Phosphomannomutase
19728,Phosphomannomutase/phosphoglucomutase
19729,Phosphomethylpyrimidine synthase
19730,Phosphopantetheine adenylyltransferase
19731,Phosphoribosyl-AMP cyclohydrolase
19732,Phosphoribosyl-ATP pyrophosphatase
19733,Phosphoribosylamine--glycine ligase
19734,Phosphoribosylaminoimidazole-succinocarboxamide synthase
19735,Phosphoribosylformylglycinamidine cyclo-ligase
19736,Phosphoribosylformylglycinamidine synthase
19737,Phosphoribosylglycinamide formyltransferase
19738,Phosphoserine aminotransferase
19739,Phosphoserine phosphatase
19740,Phytoene synthase
19741,Pimeloyl-[acyl-carrier protein] methyl ester esterase
19742,Poly polymerase I
19743,Polyamine aminopropyltransferase
19744,Polyphosphate kinase
19745,Polyribonucleotide nucleotidyltransferase
19746,Porphobilinogen deaminase
19747,Prepilin leader peptidase/N-methyltransferase [Includes: peptidase ; N-methyltransferase ]
19748,Probable cytosol aminopeptidase
19749,Probable malate:quinone oxidoreductase
19750,Probable nicotinate-nucleotide adenylyltransferase diphosphorylase) pyrophosphorylase)
19751,Probable periplasmic serine endoprotease DegP-like
19752,Proline iminopeptidase
19753,Proline--tRNA ligase
19754,Prolyl endopeptidase
19755,Protein CcpR
19756,Protein-L-isoaspartate O-methyltransferase
19757,Psedouridine synthase )
19758,Pseudouridine synthase
19759,"Pseudouridine synthase, Rsu"
19760,Putative arsenate reductase
19761,Putative inner membrane ATP synthase protein
19762,Putative muramoyltetrapeptide carboxypeptidase
19763,Putative succinate-semialdehyde dehydrogenase
19764,Pyridoxine 5'-phosphate synthase
19765,Pyridoxine/pyridoxamine 5'-phosphate oxidase
19766,Pyrroline-5-carboxylate reductase
19767,Pyruvate dehydrogenase E1 component
19768,Pyruvate formate-lyase-activating enzyme
19769,Pyruvate kinase
19770,Queuine tRNA-ribosyltransferase
19771,Quinolinate synthase
19772,"R,R-butanediol dehydrogenase / diacetyl reductase"
19773,RecBCD enzyme subunit RecB
19774,RegF
19775,Release factor glutamine methyltransferase MTase PrmC)
19776,Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase ; 5-amino-6-uracil reductase ]
19777,Riboflavin biosynthesis protein [Includes: kinase ; FMN adenylyltransferase ]
19778,Riboflavin synthase
19779,Ribonuclease 3
19780,Ribonuclease E
19781,Ribonuclease HII
19782,Ribonuclease P protein component
19783,Ribonuclease PH
19784,Ribonuclease R
19785,Ribonuclease Z
19786,Ribonucleoside-diphosphate reductase
19787,Ribonucleoside-triphosphate reductase
19788,Ribose-5-phosphate isomerase A
19789,Ribose-phosphate pyrophosphokinase
19790,Ribosomal RNA large subunit methyltransferase E -methyltransferase)
19791,Ribosomal RNA large subunit methyltransferase J -N6)-methyltransferase)
19792,Ribosomal RNA small subunit methyltransferase A -N/adenine-N)-dimethyltransferase) dimethyltransferase)
19793,Ribosomal RNA small subunit methyltransferase E
19794,Ribosomal RNA small subunit methyltransferase G
19795,Ribosomal RNA small subunit methyltransferase H C1402 methyltransferase) -)-methyltransferase RsmH)
19796,Ribosomal RNA small subunit methyltransferase I -methyltransferase RsmI)
19797,Ribosomal RNA small subunit methyltransferase J -)-methyltransferase)
19798,Ribosomal large subunit pseudouridine synthase D synthase)
19799,Ribosomal protein uL3 glutamine methyltransferase
19800,Ribosomal-protein-alanine acetyltransferase
19801,Ribulose-phosphate 3-epimerase
19802,S-adenosylmethionine decarboxylase proenzyme [Cleaved into: beta chain; alpha chain]
19803,S-adenosylmethionine synthase
19804,S-adenosylmethionine:tRNA ribosyltransferase-isomerase
19805,S-formylglutathione hydrolase
19806,S-glutathione dehydrogenase
19807,S-ribosylhomocysteine lyase
19808,SDR family oxidoreductase
19809,Sensor protein
19810,Ser/Thr protein phosphatase
19811,Serine acetyltransferase
19812,Serine hydroxymethyltransferase
19813,Serine--tRNA ligase synthetase)
19814,Shikimate dehydrogenase )
19815,Shikimate kinase
19816,Signal peptidase I
19817,Siroheme synthase [Includes: Uroporphyrinogen-III C-methyltransferase ; Precorrin-2 dehydrogenase Sirohydrochlorin ferrochelatase ]
19818,Succinate--CoA ligase [ADP-forming] subunit beta
19819,Succinate-semialdehyde dehydrogenase
19820,Succinyl-diaminopimelate desuccinylase
19821,Sulfate ABC transporter substrate-binding protein
19822,Sulfate adenylyltransferase subunit 2
19823,Sulfite reductase [NADPH] flavoprotein alpha-component
19824,Superoxide dismutase [Cu-Zn]
19825,Tetraacyldisaccharide 4'-kinase
19826,Thiamine-monophosphate kinase
19827,Thiamine-phosphate synthase
19828,Thiazole synthase
19829,Thiol:disulfide interchange protein
